,News
367,stocks to hold onto $ newp $ dgii $ aol $ aapl visit URL
377,stocks to buy $ disca $ ccur $ orcc $ aapl must see URL
384,"rt AT_USER $ aapl reports earnings tomorrow , and here's a chart that shows what every analyst is predicting : URL"
387,looking for the next performer like $ mcp $ cmrg $ tcco $ aapl view now URL
391,$ aapl could apple inc . have sold 60 million iphones last quarter ? URL
392,benzinga weekly preview : tech sector to steal the spotlight $ aal $ aapl $ amgn premarket URL
420,"gartman is bearish of $ aapl in gold terms , of which he's bullish in yen terms ."
422,rt AT_USER 9.6 million shares bought in quarter of stock $ aapl
430,"$ aapl preview 5 : but , let's remember that aapl always defers more revenue in fiscal q1 ( holiday qtr ) than fiscal q4 ."
431,139 calls from friday's tv & twitter commentary updated to the screener : URL most opined : $ eem $ aapl $ sbux
440,$ aapl $ spy watch the earnings roll live news flow . $ spy $ tsla $ nflx URL URL
447,"AT_USER monday's stocks to watch : caterpillar , apple , rayonier URL $ cat $ aapl $ ryn "" waiting to see the numbers"
450,"still to come : AT_USER john calamos sr , AT_USER & $ aapl earnings . mustwatch URL"
455,"$ aapl i . e . , i don't consider earnings plays to be real "" trading "" or "" investing "" . they are pure gambles , imo , but i understand that going in ."
457,$ aapl reporto prácticamente identico a la guía que dio la empresa .
471,"AT_USER hmm i think $ aapl will beat eps in line revs , but have a good story , and story can push it higher see it over and over : p"
472,AT_USER AT_USER $ aapl 574.80
478,"rt AT_USER apple sold 51 million iphones in its first fiscal quarter , far below analysts ' estimate of 55 million . URL $ aapl"
488,so excited to see where AT_USER takes $ aapl … an amazing female role model joining the tech scene . URL
495,"call me "" cre-cre "" but i'd rather own flat $ aapl continually posting $ 13b profit than 25 % growth $ amzn with rev's $ 17b , $ 500m loss , & 1415pe"
500,"since that point is ( seemingly ) debatable , $ aapl is afforded a premium related to the growth rate of it ’ s perceived “ only product ” ( iphone )"
501,AT_USER i had an order in at $ 501 and i canceled it . tomorrow will be interesting ! $ aapl
517,$ aapl is going under $ 500 soon
521,"rt AT_USER $ aapl apple en premarket ahora mismo -7,25 % ."
522,"rt AT_USER it's bad momo to celebrate other people's losses , even if they're a billionaire . $ aapl icahn"
524,looking forward to AT_USER thoughts on $ yhoo $ goog etc numbers following his $ aapl thoughts earlier ( see URL
539,"$ aapl - market snapshot : u . s . stocks up after confidence , upbeat earnings URL"
541,"apple ohlásil výsledky , které neohromily . zisk zůstal stejný jako před rokem - 13,1 mld usd . zajímavé je ale zvýšení nákladů na r & d . $ aapl"
543,"rt AT_USER i am not as downbeat on $ aapl as everyone else , will explain tomorrow but i get the frustration ..."
556,"call me crazy but even after $ aapl somewhat "" missed "" i think $ crus can still beat earnings and trade over the messy $ 21 range"
568,we see $ aapl as being undervalued after today's rather large drop . we are starting a large position in $ aapl starting today .
577,"most-viewed quote pages on our site this week so far - - $ aapl ( always ) , $ fb , $ aria , $ bac and $ yhoo"
582,rt AT_USER $ aapl $ 200 target stockmarket trading $ vix $ spx $ spy $ dia $ qqq
585,$ aapl pressure mounts for apple to expand its horizons - san francisco chronicle URL
587,tesla : time to take profits ? URL $ aapl apple $ pkw $ pm $ tsla
599,commented on stocktwits : $ aapl is worse . since hardware can be comodized eaiser than software and services URL
611,rt AT_USER go ahead . sell $ aapl at 9x earnings and buy $ twtr at 40x revenue . that's a sure fire formula to get rich .
619,"$ aapl $ ebay "" paypal wants to partner with apple on iphone mobile payment platform "" - report URL via AT_USER"
641,best stock newsletter on $ usap $ rt $ vrtx $ aapl must see URL
642,"interesting reading many "" scoffs "" at icahn of late re : $ nuan $ aapl ... but how many "" day traders "" have made icahn money ? ?"
674,rt AT_USER active calls @ cboe ; $ aapl 2/7 / 14 505 $ vxx 2/7 / 14 56 & feb 52 $ nrf jan 17 & 1/15 / 16 17
681,rt AT_USER $ aapl below AT_USER soon stocks stockmarket trading $ vix $ spx $ spy $ dia $ qqq
682,rt AT_USER 40 % to 100 % with options on a daily basis free webinar URL $ fb $ aapl
691,"$ aapl - [ video ] correction protection : aapl , whr , gld & ba -> URL stock stocks stockaction"
697,rt AT_USER . AT_USER thanks for the follow . i like and agree with your thoughts on $ aapl dream dividends
702,is apple making a comeback ? a historical perspective ( seeking alpha article ) $ aapl URL
703,average 50 % on every daytrade 40 % returns in minutes video URL $ aapl $ goog
713,today's most positive tickers on URL $ spy $ hemp $ aapl $ twtr $ sing $ phot $ fb $ gld URL
723,rt AT_USER sure hope all these valentine's day email ads from $ aapl are not the type of ' innovation ' that it was so excited about i …
726,$ aapl would likely release the iwatch sometime in the second half of 2014 .
729,why apple's and seagate's stocks are long-term investment opportunities right now URL $ aapl $ stx
770,"AT_USER last week i placed aapl on my best ideas list on real money pro . look out above , jim ? $ aapl"
771,$ aapl cup n handle .. here we go
773,"$ aapl egan-jones proxy advisor recommended shareholders reject carl icahn buyback proposal , according to reports out earlier"
781,morningword 2/7 / 14 : $ aapl bought your fear and they know a lot more than you URL
783,to those saying $ aapl had better use for their $ 14b instead of repurchases - i'm not holding back : yall are idiots . $ aapl has $ 160b .
795,rt AT_USER $ aapl's $ 14 billion buyback is more than just a sign of confidence : URL
802,"AT_USER how do we get on am i diversified ? $ aapl , $ etp , $ sbux , $ rol , $ data ?"
815,"so now that AT_USER is pleased with $ aapl & tim cook , will he spend more time harassing john donahoe & $ ebay to spin-off paypal ?"
825,"$ aapl apple inc . ( aapl ) news : apple investors should keep cool , just like carl icahn URL"
857,am anticipation 02/11 : focus on janetyellen and fed & apple & google being watched $ aapl $ goog URL
863,"rt AT_USER in january retail investors bought $ aapl , sold $ fb and traded ' like professionals ' URL"
867,$ aapl : itunes ' scale and volume hard to ignore - nearly half of google ’ s core business and growing faster URL
868,mobile phone market hits ' the great moderation ' URL ibdblogs via AT_USER $ aapl $ msft $ nok $ goog $ bbry
878,rt AT_USER extreme options trading for 100 % returns sign up for free 1 week alerts URL $ aapl $ goog
885,$ aapl keep a close eye on sentiment . if you are a short-term sell at 92-95 %
886,rt AT_USER $ aapl working on a set top box product with time warner cable URL
888,venezuela : the last days of private enterprise URL via AT_USER venezuelanbonds $ gm $ pg $ hlf $ meli $ amzn $ aapl $ tm
891,rt AT_USER triple digit returns from daytrades get free 1 week alerts URL $ fb $ aapl
895,all out $ aapl @ 3.25 for +1.65 ( 103 % profits )
905,"$ aapl apple inc . ( aapl ) news : apple heading to $ 750 , cisco still reinventing itself ... URL"
918,$ aapl adding to the position here on the 545 calls . 25 or better
919,AT_USER would you consider buying $ aapl and $ goog ?
923,get more info on $ rs $ see $ ibkr $ aapl nasdaq URL
948,"rt AT_USER market cap : mar , 2000 $ aapl : $ 20b . $ palm : $ 54b . feb , 2014 $ aapl : $ 485b . $ palm : ? * ! ( things change . )"
949,killer daytrading system for stocks futures options free alerts for a week try now URL $ aapl $ goog
951,rt AT_USER the apple exec in charge of buying companies met with tesla ceo elon musk $ aapl $ tlsa URL
979,"rt AT_USER apple ( $ aapl ) moved above $ 550 this morning , re-gaining all of its post-earnings report losses ."
980,"$ aapl incoming ! our 9 most anticipated iphone , ipad , and android games for february ... - pocket gamer URL"
988,"“ AT_USER apple patents macbook with illuminated touch controls in chassis , bezel & frame URL $ aapl"
992,thinking of investing in $ wtw $ ge $ dltr $ aapl research URL
1006,small-cap stocks setting new 52 - wk high prices $ atk $ cab $ goog $ aapl research URL
1014,AT_USER completely agree . lag in product development is simply $ aapl discipline of introducing great products . they're coming w / in mos
1019,glad for all iphone $ aapl users that whatsapp is bought by android $ goog . but i hope facebook $ fb doesn't kill it
1032,rt AT_USER is apple becoming an also-ran to facebook and google ? URL $ aapl
1033,rt AT_USER 5 trade ideas that can make 500 % + in the coming correction : $ aapl $ sqqq $ tza $ pcln $ ung $ uso hedging profits - - http …
1037,$ aapl 20 dma hit . expected this yesterday and foolishly went long way too early this morning . URL
1056,"$ aapl - intel ceo says relationship with apple getting closer , apple insider s ... -> URL stock stocks stockaction"
1066,targets : $ tsla - 250 $ scty - 90s $ fb $ 80s $ nflx - $ 500 $ aapl - $ 600s $ goog - 1300 $ dis $ 90s $ twtr ( depends on manag but good up & down trade
1074,"AT_USER as crowded as $ aapl is right now , i'm thinking $ cree might be a better idea until $ aapl proves more"
1075,todays stocks to watch $ hsic $ px $ arna $ drc $ aapl visit URL
1086,rt AT_USER what if the strategy of $ aapl is to let its competitors m & a their way into oblivion ?
1088,"$ aapl - qualcomm delivers , altera talks china 4g , cisco talks network virtuali ... -> URL stock stocks stockaction"
1095,rt AT_USER top setups on watch today URL $ fnma $ fmcc $ ctso $ hemp $ phot $ trtc $ mjna $ gs $ aapl $ ebay
1104,$ aapl fresh levels - daily trend - firm bearish actual resis & best sell 519 - 521.40 below 516.60 target 512 - 509 .. 80 intact mkt
1106,$ aapl apple inc . ( aapl ): how the iphone 6 might use sapphire glass URL
1125,$ aapl how the apple-china mobile deal impacts electronic arts - motley fool URL
1133,"AT_USER if i were you , i would call AT_USER personally tomorrow and tell him $ aapl is in for $ 2 billion . $ tsla gigafactory ."
1134,“ AT_USER apple is fortune's ' most admired ' for 7th year in a row : URL $ aapl ”
1144,AT_USER just keeping a close watch on what i have at the moment : $ aapl $ bidu and $ cvs
1152,$ aapl can this drop 10 % from here
1156,waiting for this $ aapl .. if it can hold above 530 then 535 calls would be good ..
1163,$ aapl reverse head and shoulder . watch out for the dandruff though .
1171,$ aapl - what the heck is windows 8.1 with bing anyway ? -> URL stock stocks stockaction
1176,would've been more effective at 700 $ aapl ! ! tim cook to climate change deniers : get out of apple stock URL via AT_USER
1203,$ aapl - apple carplay to bring iphone interface to cars -> URL stock stocks stockaction
1209,rt AT_USER is roku david or goliath against apple & amazon ? URL $ aapl $ amzn $ goog $ ntgr roku AT_USER
1216,"still the tablet leader , $ aapl loses market share to android as the devices go mainstream worldwide . URL"
1225,rt AT_USER actives on open @ cboe : $ aapl $ bac $ gm $ mu $ tsla $ znga
1228,liquidmetal : lm 105 breakthrough bigger than we may now think URL $ aapl biotech $ ddd
1229,"apple outspent google in acquisitions last year , but what of in-house innovation ? $ aapl $ goog $ fb URL via AT_USER"
1233,AT_USER $ hysr up 450 % ! stocks cnbc news breakout AT_USER AT_USER $ tsla $ plug $ goog $ aapl $ spli $ fb buy $ hysr retweeet
1236,"rt AT_USER new post : "" the best of see it market - february "" URL $ spy $ gld $ slv $ ibb $ aapl $ cl_f $ dax $ eurusd $ s …"
1243,AT_USER sold $ aapl position on the open for + 10 % due to the low volume . still holding $ f monthlies .
1250,"$ aapl electronic equipment : apple inc . ( nasdaq : aapl ) , sony corporation ( adr ... URL"
1253,$ aapl - [ video ] diageo deploys mixologists for vintage libations -> URL stock stocks stockaction
1256,"rt AT_USER phil davis of philstockworld on money talk , wednesday , march 5th : $ aapl $ clf options trading bethehouse - - URL"
1266,$ nve couple of stocks to watch $ nrg $ dbd $ aapl money URL
1269,get great research on stocks $ mwv $ abbv $ vnta $ aapl nasdaq URL
1272,"$ aapl apple , inc . ' s new cfo : "" a champion of shareholder return "" URL"
1286,wow . great stock research on $ fult $ apam $ sjm $ aapl give it a try URL
1304,"AT_USER what's next in mobile - smartphone , tablets , wearables or more ? ask skyworks URL $ swks $ aapl $ bbry $ nok"
1310,URL apple might consider subscription model : pro : there are reports app ... URL $ psid $ ba $ aapl $ spy
1320,rt AT_USER new post : stock market recap 03/11 / 14 { video } URL $ aapl $ c $ gld $ goog $ ibb $ iwm $ nflx $ plug $ qqq $ spy …
1327,$ aapl strong back month call buying today as april and may expiry straddle spike 2.5 % at end of day URL
1348,AT_USER rt $ aapl hft algo triggered sell @ 10:01 p / t 535 stocks $ pcln $ bidu $ nflx $ twtr $ fb $ goog $ amzn $ tsla $ qqq
1354,AT_USER funny you should say that because $ aapl is about to have a massive rally starting as early as tomorrow .
1357,get more winners like $ esrx $ ofc $ fsl $ aapl wallstreet URL
1359,rt AT_USER apple supera por primera vez a samsung como marca más deseada en mercados emergentes URL $ aapl URL
1360,rt AT_USER icymi : have a look at what a mess AT_USER apple section is in la URL AT_USER $ aapl $ wmt
1364,$ aapl doin ' stuff .
1378,$ aapl apple inc . ( aapl ) news : apple's future : iphone replacements ? URL
1420,rt AT_USER $ aapl working well since yesterday long play thru 530 looking better each day .. imho .
1422,$ aapl uuuuaaawwwww !
1423,"$ aapl - this morning : in defense of oracle , adobe , apples march upside , fb eng ... -> URL stock stocks stockaction"
1429,watchlist for wednesday is up URL $ erbb $ tsla $ pmcm $ mwip $ plug $ aapl $ nflx
1440,according to my calculations $ aapl makes about $ 5 billion net in 2014 only in promoting the mobile games ( made by others ) via itunes ! ! !
1446,"$ aapl apple inc . , amazon sued by south carolinian over copyright sound ... URL"
1454,symmetrical chart with ma's converging . light volume within the pattern . it can break either way . $ aapl URL
1455,AT_USER AT_USER move into the close was a s & p weighting rebalance on $ aapl
1459,"$ aapl chart by AT_USER URL closed above 8 , 21 ema and 50 ma ."
1466,as the indexes buckle into red $ aapl remains bid just shy of 540 . thesis still holding water .
1475,rt AT_USER virnetx vs . apple at the cafc : what was said and why URL $ aapl apple $ vhc
1481,usa-les valeurs à suivre à wall street URL $ vc $ gm $ nus $ jpm $ pfg $ hlf $ panw $ aapl $ cmcsa $ msft $ csco
1485,morning preview : apple trends again and the biotech mega bubble URL $ aapl $ ibb $ hlf
1486,joining AT_USER with a markets update and why $ aapl is bucking the trend in a minute on AT_USER
1489,find out the latest on $ nuan $ wcc $ adi $ aapl must have URL
1494,$ avav dd : wasp uas / #drone URL $ goog $ gtat $ fb $ ba $ tsla $ aapl $ amzn $ hlf $ vz $ hpq $ nflx $ bac $ ge $ vz $ aa $ msft $ plug
1500,$ aapl chart by AT_USER URL could hit $ 590 .
1514,rt AT_USER market wants to eat you alive – sassymusings 3/25 $ spy $ aapl $ twtr $ ibm $ csco $ ibb $ gs $ xlf $ trla $ hpq $ msft $ qqq URL
1517,"$ aapl chomp co-founder leaves apple , delta marketing vp joins URL AT_USER"
1518,$ aapl - looking good for next 20pts ... no position URL
1532,we want to remind everyone our 1 marijuana investment is still $ glco our analysis have a target of . 25 $ phot $ trtc $ erbb $ pmcm $ lvgi $ aapl
1540,AT_USER but i like $ aapl thats surviving . product hype should bring it to 600s .
1550,rt AT_USER when is the right time to invest AT_USER $ aapl $ xom $ jnj $ ge $ t - URL
1551,rt AT_USER interesting . another potential $ lqmt patent for $ aapl . just affirms the story . URL
1571,friday links : avoiding unforced errors . URL via AT_USER $ eem $ msft $ bax $ king $ aapl
1572,$ aapl ; look out 530
1579,"rt AT_USER twitter memiliki simbol $ ( cashtags ) untuk melihat twit tentang saham dan perusahaan , contoh $ aapl untuk apple ."
1583,rt AT_USER apple gets a 30 % cut of office for ipad sales : URL ( via AT_USER $ aapl $ msft
1589,"apple and netflix , a match made in heaven - URL URL $ aapl $ nflx $ cmcsa"
1596,rt AT_USER $ aapl “ AT_USER apple patents transparent texting so you can more safely text and walk - URL - hothar …
1607,$ aapl looks like the tape wants to go down to $ 534 area
1614,apple : ap technology newsbrief at 3:05 a . m . edt URL $ aapl $ twtr
1618,rt AT_USER AT_USER april fukken fools ! & $ lvgi inked a deal with $ goog $ amzn $ ge $ phot $ ebay $ msft $ aapl to sell ~ ~ ~ > URL
1630,"rt AT_USER $ ddd teamed up with hershey to replicate food , $ fb's building us our own holodecks , $ aapl's giving us tricorders . wel …"
1636,"$ aapl in apple v . samsung part 2 , google is still the real target URL"
1643,rt AT_USER $ aapl piper jaffray positive on apple shares ahead of product cycle . on radar .
1717,are you putting your money in $ ofc $ rig $ dst $ aapl must have URL
1721,rt AT_USER 2 reasons apple will buy netflix URL via AT_USER $ aapl $ cmcsa $ twc $ nflx
1734,could apple $ aapl replace panasonic as a strategic partner in tesla $ tsla motors ' gigafactory ? URL
1735,"our hot penny stock picks , gained 2,100 % in 4 weeks ! subscribe today : URL $ trx $ aapl $ goog"
1737,$ aapl apple's ibeacon is ready for minnesota twins game opener URL
1745,a sea of red : altex vision update $ plug $ msft $ tsla $ lnkd $ nflx $ qcor $ intc $ aapl $ fb URL
1752,rt AT_USER the waning integrity of us financial markets $ spy $ gs $ aapl $ fb URL via AT_USER timestamp june …
1754,todays stocks you should be watching $ lltc $ cck $ wm $ aapl singedinvestor URL
1755,great stock newsletter you must have $ etr $ tmhc $ ddd $ aapl moneymanagement URL
1775,stock watchlist you should be looking at $ aeo $ kos $ wcc $ aapl check out URL
1776,stock market reports you need on $ cnqr $ hcp $ tdg $ aapl give it a try URL
1804,"$ aapl's down with the rest , but not nearly as much . so it's a hold imo ."
1808,$ aapl - is samsung suffering from apple syndrome ? -> URL stock stocks stockaction
1814,"$ aapl - apple , google and ge - which 1 of these things is not like the others -> URL stock stocks stockaction"
1827,the dumbest apple article award goes to ... URL $ nflx $ goog $ ssnlf $ bbry via AT_USER $ aapl iphone
1832,$ mdlz keeping my eye on $ pxd $ clf $ aapl view now URL
1853,"rt AT_USER 38 years ago this month , apple co-founder ronald wayne sold his 10 % stake in $ aapl for $ 800 . current value : $ 46 billion ."
1855,$ isca stock watchlist . dont be left behind $ fl $ wtw $ aapl research URL
1857,"flappy bird ' refuses to die , still popular teen game URL ibdblogs via AT_USER $ aapl $ goog $ ntdoy $ king $ znga"
1866,rt AT_USER apple $ aapl is considering raising iphone the 6 prices by $ 100 .
1868,stock watchlist . dont be left behind $ cbs $ adt $ wfm $ aapl stockmarket URL
1869,$ aapl - blackberry plans heartbleed patches as mobile threat scrutinized -> URL stock stocks stockaction
1872,todays movers to research $ aon $ bku $ clwr $ aapl personalfinance URL
1873,"trade - - $ aapl : exit long at 518.23 , date = 4/14 / 2014 , time = 15:13 : 34:0"
1903,rt AT_USER wearables take a step forward at work URL wearables $ aapl $ goog nikeplus fitbit jawbone URL
1906,should you hold or add to $ hta $ nem $ cci $ aapl try this URL
1926,( mentally ) stopped out of $ nflx long twice now when its runs collapsed . still watching to see what happens next . meanwhile $ aapl is going .
1927,are you considering buying $ swn $ hrb $ alsn $ aapl check out URL
1932,$ aapl 521.29 +0.44 % $ fb 59.63 -0.16 % $ amzn 325.60 +0.6 % $ googl 541.78 -3.9 % $ yhoo 35.84 -1.4 % $ twtr 45.79 +3.1 % $ king 18.04 +0.06 %
1943,are you thinking of investing in $ flo $ ndsn $ csl $ aapl financial URL
1972,"rt AT_USER 38 years ago this month , apple co-founder ronald wayne sold his 10 % stake in $ aapl for $ 800 . current value : $ 46 billion $ aapl"
1993,todays stocks you should watch $ cce $ aiz $ hsp $ aapl newsletter URL
2011,find the next hot pennystock $ cli $ ice $ fbhs $ aapl singedinvestor URL
2012,rt AT_USER apple ’ s iphone 6 reportedly delayed for a battery issue $ aapl URL - AT_USER URL
2017,account doubling system 40 % returns in minutes video URL $ fb $ aapl
2021,apple $ aapl [ cap $ 473.8 b ] q2 earnings tomorrow after close [ eps consensus = 10.22 ] [ 4wk chg vs mkt : 98 % ] AT_USER
2026,are you considering buying $ rlgy $ splk $ sre $ aapl view now URL
2033,AT_USER $ t quarter makes me think $ aapl is a short after next iphone launch . move towards unsubsidized phones = gm % pressure
2041,rt AT_USER i guess $ aapl needs retail investors now that hedge funds are all bailing . 7-1 split .
2048,$ aapl $ 560
2054,good to be long $ aapl AT_USER apple shares surge 7 % after earnings beat and stock split URL
2055,"rt AT_USER apple stock splits : june 15 , 1987 june 21 , 2000 february 28 , 2005 june 2 , 2014 $ aapl"
2065,rt AT_USER AT_USER AT_USER simple > year old chart and tweet of chl ... forewarned long bf earnings and $ aapl deal htt …
2068,$ aapl seeking the next hot pennystock $ cat $ pc $ gld research URL
2083,"$ aapl - tech stocks : apple , facebook , amazon off as techs retreat URL"
2090,$ lltc it could be breaktout time on $ amp $ trip $ aapl must see URL
2091,"should you buy , sell or hold $ xyl $ aapl $ dtv $ ir singedinvestor URL"
2093,"ok , got my $ aapl order in for earnings , went a little above close at 525 , anyone hear anything yet ?"
2096,"rt AT_USER check out that chart rt AT_USER breaking : shares of $ aapl re-open , stock soars more than 7 % : URL URL"
2102,are you bullish on these stocks $ ea $ ajg $ tmk $ aapl money URL
2120,"$ aapl - apple ceo tim cook discusses earnings , buyback , china , iphone sales : l ... -> URL stock stocks stockaction"
2125,last time i saw this much negativity / low expectations on a big tech stock ( $ aapl ) into earnings was $ goog last fall ~ ~
2126,rt AT_USER apple $ aapl reports earnings on wednesday . what to look for : URL ( photo : getty ) URL
2130,esperaremos a esta noche con $ aapl ... a ver si hay suerte y salimos con un gran gap al alza . eso es lo que se necesita para bailar .
2134,are you thinking of investing in $ bwc $ neu $ tmhc $ aapl investing URL
2143,"rt AT_USER after last night's $ aapl earnings , thestreet's AT_USER takes an apple-fueled victory lap : URL"
2153,yo les digo desde ahora a los que rompen las bolas por dm . el 4 de junio es el ultimo día para comprar $ aapl antes del split x 7 . de nada .
2155,"if $ aapl can break into new 52 - week highs , it would be another good sign for the market's rally effort ."
2158,rt AT_USER apple's iphone generated great results and a solid outlook URL $ aapl
2168,rt AT_USER our apple trade of the year on track for 525 % gains ! more ideas on $ crox $ txn $ cake $ fb $ aapl and commentary @ URL
2179,+ 213 profit on 5k capital.stocks : $ qcor $ gmcrURL ytd gross profit for 2014 : + 30490 apr 2014 : + 5292 $ spy $ qqq $ aapl
2187,rt AT_USER $ aapl is propping up the $ qqq this morning and hiding some of the damage .
2195,$ aapl | news & coverage URL
2197,todays stocks you should watch $ fsl $ cost $ mdr $ aapl liquidity URL
2222,"in terms of revenue , it was apple ’ s strongest non-holiday quarter in company history ... URL $ aapl"
2226,couple of stocks you should watch $ rpai $ swks $ cl $ aapl view now URL
2230,"AT_USER rt $ aapl algo setup for today apr . 25 , 2014 t / s : sell , p / t : 555 nexttrade stocks $ pcln $ amzn $ goog $ tsla $ fb $ bidu $ spy $ nflx $ qqq"
2233,$ aapl - tech firms agree to settle lawsuit over no-hiring pacts -> URL stock stocks stockaction
2242,commented on stocktwits : $ aapl daily - price near the hot-potato trend-line ( orange ) means price normally gap up / ... URL
2245,"rt AT_USER . AT_USER apple , AT_USER & adobe pay $ 324 million to settle workers ' lawsuit URL $ goog $ aapl $ intc $ adbe"
2247,shoud you sell or hold stocks like $ wu $ iex $ wyn $ aapl financialnews URL
2251,"the diff between $ aapl and $ msft is that jobs built an experience using his product on top of just being "" cool "" . URL"
2254,"the dow finished perfectly unchanged thursday , but why did nike and at & t fall ? URL - $ aapl"
2271,1 / looking back last 2 weeks not my most accurate but the big winners $ aapl $ nflx $ xoom $ swks more than made up for the poor plays
2276,"goldman sachs $ gs downgraded q1 real gdp growth to 1 % get $ hdge , short $ aapl , $ dia , $ spy , $ qqq AT_USER AT_USER URL"
2284,couple of stocks you should watch $ cbg $ gpn $ joe $ aapl overvalued URL
2286,$ aapl iphone traffickers convincing poor / homeless to sign contracts at apple store ... URL
2289,ibd : china slowing ? big u . s . companies remain bullish URL $ aapl $ cat $ sbux $ mcd $ yum $ utx $ lvs
2316,apple price target increased to $ 590.00 by analysts at janney montgomery scott $ aapl URL
2318,$ aapl overpriced by 99.50 pts in 52 dma chart strong sell on valuations nexttrade stocks $ pcln $ amzn $ goog $ tsla $ fb $ nflx $ spy $ qqq
2339,rt AT_USER apple's india problem : 80 % + favor android tablets - $ aapl 3rd . road to ipad sales growth runs through the subcontinent . http …
2351,here are some stocks to watch $ hcc $ biib $ ingr $ aapl financialnews URL
2359,top tech stocks based on algorithms : 16.71 % gain in 3 months URL invest stocks wallstreet $ amd $ tsla $ msft $ hpq $ aapl
2360,rt AT_USER apple $ aapl cash overseas : $ 130b total : $ 150b us corporations $ 1.1 t $ 1.8 t cut a deal AT_USER AT_USER re …
2362,$ msm wow . great stock research on $ arg $ enh $ aapl must see URL
2371,rt AT_USER fed policy statement and trade ideas for $ ezch and $ aapl apple qe - - URL
